Obs,Date,Site,Site2,species,species2,TL,BD,BW,WET,DW,ED,DW_PCT
24,7/20/2004,STPA,5,amprup,native,9.32,3.31,1.36,15.8839,3.6305,4267.067928,22.85647731
25,7/19/2004,AWRI,5,amprup,native,4.95,1.85,0.69,2.459,0.5311,4365.239576,21.59821065
26,7/20/2004,STPA,5,amprup,native,7.56,2.77,1.12,8.5069,1.8624,4399.850648,21.89281642
27,7/20/2004,FISH,5,amprup,native,7.93,2.89,1.27,10.7351,2.3861,4405.180799,22.22708685
28,7/13/2004,STPA,5,amprup,native,6.9,2.37,1.02,6.6254,1.4439,4418.591999,21.79340115
29,7/20/2004,STPA,5,amprup,native,6.69,2.31,0.9,5.9333,1.3252,4461.532246,22.33495694
30,7/20/2004,STPA,5,amprup,native,7.85,2.89,1.07,9.8718,2.1607,4499.059874,21.88759902
31,7/20/2004,FISH,5,amprup,native,9.01,3.31,1.47,12.3619,2.8465,4608.30149,23.02639562
32,7/19/2004,AWRI,5,amprup,native,7.34,1.36,0.9,4.2701,1.0496,5941.036659,24.5802206
34,10/11/2004,CDCR,6,cotbai,native,5.43,0.72,1.09,2.1591,0.3223,2968.781751,14.92751609
35,10/11/2004,CDCR,6,cotbai,native,4.93,0.6,1.05,1.4699,0.222,3007.957836,15.10306824
36,10/11/2004,CDCR,6,cotbai,native,7.62,1.11,1.5,6.2356,1.0229,3210.784468,16.40419527
37,10/11/2004,CDCR,6,cotbai,native,4.29,0.52,0.87,0.9603,0.1614,3285.648312,16.80724774
38,10/11/2004,CDCR,6,cotbai,native,9.73,1.66,2.09,13.4431,2.3244,3297.040422,17.29065469
39,10/11/2004,CDCR,6,cotbai,native,6.95,1.13,1.5,5.0215,0.8481,3423.059309,16.88937568
40,10/11/2004,CDCR,6,cotbai,native,4.05,0.5,0.7,0.7042,0.1205,3445.521294,17.11161602
41,10/11/2004,CDCR,6,cotbai,native,5.75,0.86,1.28,2.1806,0.3877,3514.944647,17.77951023
42,10/11/2004,CDCR,6,cotbai,native,6.4,0.91,1.39,3.2014,0.5744,3523.73652,17.94215031
43,10/11/2004,CDCR,6,cotbai,native,5.93,0.82,1.26,2.7231,0.4734,3542.778197,17.38459844
44,10/11/2004,CDCR,6,cotbai,native,8.12,1.14,1.66,6.2688,1.1491,3596.105935,18.33046197
45,10/11/2004,CDCR,6,cotbai,native,4.78,0.67,1.02,1.2471,0.2199,3631.517223,17.63290835
46,10/11/2004,CDCR,6,cotbai,native,10.44,1.83,2.39,19.796,3.7617,3676.180113,19.0023237
47,10/11/2004,CDCR,6,cotbai,native,8.12,1.16,1.78,7.1579,1.305,3676.725167,18.23160424
48,10/11/2004,CDCR,6,cotbai,native,5.8,0.79,1.08,2.4087,0.4451,3761.130655,18.47884751
49,10/11/2004,CDCR,6,cotbai,native,5.42,0.65,1.11,1.9068,0.3537,3801.367304,18.54940214
50,10/11/2004,CDCR,6,cotbai,native,5.87,0.84,1.22,2.3136,0.4339,3967.075337,18.75432227
51,10/11/2004,CDCR,6,cotbai,native,8.61,1.38,1.84,9.1249,1.8174,4120.49018,19.9169306
52,10/11/2004,CDCR,6,cotbai,native,9.14,1.39,2.25,9.7185,1.9519,4170.320813,20.08437516
53,8/12/2004,MIMR,1,cyprin,native,3.8,0.6,0.46,0.502,0.0469,2182.653481,9.342629482
54,8/12/2004,MIMR,3,cyprin,native,3.3,0.52,0.29,0.2889,0.04,2943.924329,13.84562132
55,8/12/2004,MIMR,3,cyprin,native,3.26,0.61,0.39,0.4,0.053,2961.475875,13.25
56,8/12/2004,MIMR,3,cyprin,native,3.14,0.64,0.33,0.3747,0.0517,3088.479819,13.79770483
57,8/12/2004,MIMR,3,cyprin,native,3.77,0.59,0.33,0.4512,0.0681,3125.656615,15.09308511
58,8/12/2004,MIMR,3,cyprin,native,3.37,0.57,0.34,0.4285,0.0627,3294.551795,14.63243874
59,8/12/2004,MIMR,3,cyprin,native,3.67,0.68,0.43,0.539,0.0815,3358.235441,15.12059369
60,8/12/2004,MIMR,3,cyprin,native,4.94,0.74,0.43,0.9401,0.1528,3361.976333,16.25359004
61,8/12/2004,MIMR,3,cyprin,native,2.81,0.54,0.3,0.2663,0.0421,3396.431376,15.8092377
62,8/12/2004,MIMR,3,cyprin,native,3.7,0.58,0.4,0.4009,0.0671,3598.234174,16.73734098
63,8/12/2004,MIMR,3,cyprin,native,3.26,0.6,0.36,0.3439,0.0565,3625.36353,16.42919453
64,8/12/2004,MIMR,3,cyprin,native,3.55,0.63,0.36,0.5164,0.0829,3664.958641,16.05344694
65,8/12/2004,MIMR,3,cyprin,native,3.3,0.69,0.36,0.3973,0.0664,3720.917165,16.71281148
66,7/20/2004,STPA,3,cyprin,native,8,1.29,0.88,3.9422,0.7321,3774.777325,18.57084876
67,8/12/2004,MIMR,3,cyprin,native,4.39,0.78,0.49,0.8403,0.1404,3785.79563,16.70831846
68,7/19/2004,FISH,7,cyprin,native,5.4,0.84,0.64,1.3709,0.2341,3831.533982,17.07637319
69,7/20/2004,STPA,7,cyprin,native,5.22,0.8,0.6,1.1235,0.1893,3833.358816,16.84913218
70,7/19/2004,FISH,7,cyprin,native,5.79,0.9,0.68,1.6062,0.2728,3839.154462,16.98418628
71,8/12/2004,MIMR,7,cyprin,native,4.31,0.63,0.47,0.7522,0.126,3913.875054,16.75086413
72,7/19/2004,FISH,7,cyprin,native,5.99,0.91,0.68,1.7235,0.318,3987.602654,18.45082681
73,7/22/2004,AWRI,7,cyprin,native,6.86,1.11,0.81,2.9445,0.5685,4026.473494,19.30718288
74,7/20/2004,STPA,7,cyprin,native,6.53,1.02,0.84,2.3363,0.422,4071.39595,18.06274879
75,8/12/2004,MIMR,7,cyprin,native,4.11,0.76,0.47,0.5602,0.1012,4080.450211,18.06497679
76,7/19/2004,FISH,7,cyprin,native,5.81,0.94,0.76,1.8003,0.3217,4099.020594,17.86924401
77,7/19/2004,FISH,7,cyprin,native,5.53,0.84,0.62,1.4672,0.2738,4198.548947,18.66139586
78,7/19/2004,FISH,7,cyprin,native,5.21,0.89,0.66,1.1187,0.2019,4270.149932,18.04773398
79,8/12/2004,MIMR,7,cyprin,native,4.69,0.69,0.51,0.9423,0.1784,4289.822059,18.93239945
80,7/19/2004,FISH,7,cyprin,native,6.36,1.04,0.78,2.1842,0.4238,4437.649305,19.40298507
81,7/19/2004,FISH,7,cyprin,native,5.65,0.95,0.74,1.683,0.3302,4499.613807,19.61972668
82,7/19/2004,FISH,7,cyprin,native,5.62,1.02,0.66,1.583,0.308,4529.003197,19.45672773
83,7/19/2004,FISH,7,cyprin,native,6.64,1.01,0.8,2.5171,0.5111,4677.430515,20.30511303
84,7/19/2004,FISH,7,cyprin,native,6.42,1,0.78,2.3026,0.4472,4702.980417,19.4215235
85,7/19/2004,FISH,5,cyprin,native,6.53,1,0.89,2.5703,0.5096,4741.037031,19.8264794
86,7/19/2004,FISH,5,cyprin,native,7.78,1.36,0.92,5.4499,1.129,4808.757892,20.71597644
88,7/20/2004,STPA,5,cyprin,native,6.28,1.07,0.72,2.1695,0.4675,5269.842411,21.54874395
89,7/20/2004,WEPA,5,cyprin,native,7.93,1.42,0.93,5.5922,1.2515,5411.834966,22.37938557
90,7/20/2004,STPA,5,cyprin,native,5.57,0.83,0.62,1.2184,0.292,5515.343594,23.96585686
91,7/13/2004,STPA,5,cyprin,native,7.65,1.35,0.95,4.7309,1.0823,5585.14345,22.8772538
92,7/19/2004,FISH,5,cyprin,native,7.07,1.26,0.89,3.8797,0.9079,5999.189901,23.40129391
93,7/13/2004,STPA,8,cyprin,native,7.59,1.28,0.92,4.4483,1.0703,6095.326815,24.06087719
97,7/22/2004,MIMR,2,ethnig,native,2.54,0.36,0.26,0.105,0.0168,3183.926092,16
98,7/22/2004,MIMR,2,ethnig,native,2.78,0.39,0.33,0.1235,0.021,3383.727122,17.00404858
99,7/27/2004,DSMR,2,ethnig,native,2.72,0.38,0.32,0.139,0.0227,3399.764621,16.33093525
100,7/27/2004,MIMR,2,ethnig,native,2.63,0.39,0.29,0.1143,0.0199,3464.573996,17.41032371
101,7/27/2004,DSMR,2,ethnig,native,3.54,0.54,0.41,0.3636,0.0632,3550.811769,17.38173817
102,7/22/2004,MIMR,2,ethnig,native,4.98,0.63,0.5,0.7669,0.141,3560.740578,18.3857087
103,7/27/2004,DSMR,2,ethnig,native,2.92,0.38,0.35,0.1484,0.0255,3577.207007,17.18328841
104,7/27/2004,DSMR,7,ethnig,native,3.5,0.5,0.36,0.3079,0.0555,3682.287903,18.0253329
105,7/27/2004,DSMR,7,ethnig,native,3.12,0.45,0.37,0.227,0.0395,3742.497472,17.40088106
106,8/12/2004,MIMR,7,ethnig,native,3.93,0.52,0.43,0.5404,0.0962,3776.257847,17.80162842
107,7/27/2004,DSMR,7,ethnig,native,3.38,0.41,0.37,0.2833,0.051,3871.808588,18.0021179
108,7/19/2004,MLMR,7,ethnig,native,3.56,0.48,0.38,0.3691,0.0657,3891.991879,17.80005419
109,8/12/2004,DSMR,7,ethnig,native,5.34,0.77,0.53,1.3115,0.2653,3900.36817,20.22874571
110,8/12/2004,MIMR,7,ethnig,native,3.91,0.44,0.4,0.5218,0.0934,3942.065452,17.89957838
111,8/12/2004,MIMR,7,ethnig,native,4.89,0.55,0.51,0.8319,0.1672,4002.498009,20.09856954
112,8/12/2004,MIMR,7,ethnig,native,3.9,0.57,0.5,0.5461,0.1007,4084.895209,18.43984618
113,8/12/2004,MIMR,7,ethnig,native,3.9,0.51,0.45,0.5153,0.0954,4142.064993,18.51348729
114,8/12/2004,MIMR,7,ethnig,native,4.02,0.55,0.44,0.5762,0.1084,4233.178694,18.81291218
115,8/12/2004,MIMR,7,ethnig,native,5.05,0.6,0.57,1.1957,0.2504,4370.612337,20.94170779
116,7/22/2004,MIMR,7,ethnig,native,5.06,0.67,0.6,0.8781,0.1895,5015.574554,21.58068557
117,7/22/2004,MIMR,4,ethnig,native,5,0.67,0.53,0.9145,0.2098,5068.232221,22.94149809
121,7/13/2004,AWRI,1,neomel,invasive,4.5,0.72,0.7,1.0512,0.1841,3715.017251,17.51331811
122,7/13/2004,AWRI,1,neomel,invasive,7.18,1.26,1.14,4.5876,0.9706,4205.203995,21.157032
123,7/13/2004,AWRI,1,neomel,invasive,5.27,0.84,0.8,1.6853,0.3456,4268.313029,20.50673471
124,7/13/2004,AWRI,1,neomel,invasive,6.69,1.15,1.13,3.9512,0.8226,4318.656327,20.8189917
125,7/13/2004,AWRI,1,neomel,invasive,8.45,1.5,1.35,8.7226,1.8611,4528.872185,21.3365281
126,7/13/2004,AWRI,1,neomel,invasive,7.63,1.25,1.2,5.263,1.1324,4598.5958,21.51624549
128,7/19/2004,FISH,2,neomel,invasive,2.71,0.49,0.43,0.1933,0.0239,2767.793308,12.36420072
129,7/19/2004,MLMR,2,neomel,invasive,3.26,0.52,0.41,0.44,0.0631,3049.612411,14.34090909
130,7/19/2004,MLMR,2,neomel,invasive,3.06,0.56,0.5,0.334,0.055,3501.742332,16.46706587
131,7/19/2004,MLMR,2,neomel,invasive,4.4,0.74,0.65,1.0055,0.1819,3801.592461,18.09050224
132,7/19/2004,FISH,2,neomel,invasive,6.46,1.01,0.98,3.3297,0.6639,3919.978292,19.93873322
133,7/19/2004,MLMR,2,neomel,invasive,4.85,0.9,0.79,1.471,0.2808,4051.356172,19.08905506
134,7/19/2004,MLMR,2,neomel,invasive,5.59,0.98,0.83,2.031,0.3939,4067.498828,19.394387
135,7/19/2004,MLMR,2,neomel,invasive,7.26,1.26,1.09,4.8246,1.0154,4420.517822,21.04630436
136,7/20/2004,FISH,2,neomel,invasive,2.07,0.39,0.31,0.106,0.0147,3104.410027,13.86792453
137,7/20/2004,FISH,2,neomel,invasive,3.68,0.54,0.48,0.499,0.078,3381.922026,15.63126253
138,7/20/2004,STPA,3,neomel,invasive,3.37,0.64,0.49,0.4124,0.0631,3526.986234,15.30067895
139,7/20/2004,STPA,3,neomel,invasive,5.81,1.06,0.89,2.2567,0.4267,4046.998539,18.9081402
140,7/20/2004,STPA,3,neomel,invasive,5.06,0.82,0.78,1.5895,0.3265,4479.904696,20.54105064
141,7/20/2004,STPA,3,neomel,invasive,9.58,1.61,1.58,12.6406,2.7487,4744.83976,21.7450121
142,7/20/2004,STPA,4,neomel,invasive,6.24,1.08,1,2.9374,0.6487,4876.032419,22.08415606
143,7/20/2004,STPA,4,neomel,invasive,6.86,1.24,1.08,4.1083,0.9173,4959.65043,22.32797021
144,7/20/2004,STPA,4,neomel,invasive,8.66,1.56,1.36,9.1756,2.1422,5244.315146,23.34670212
145,7/27/2004,DSMR,4,neomel,invasive,2.41,0.4,0.36,0.1461,0.0197,2836.648481,13.48391513
146,7/27/2004,DSMR,4,neomel,invasive,3.88,0.66,0.57,0.6148,0.0929,3146.273291,15.11060507
147,7/27/2004,DSMR,4,neomel,invasive,4.34,0.69,0.59,0.8702,0.1418,3225.758835,16.29510457
148,7/27/2004,DSMR,5,neomel,invasive,3.18,0.48,0.41,0.2885,0.0477,3478.260241,16.53379549
149,7/27/2004,DSMR,5,neomel,invasive,2.68,0.35,0.28,0.1219,0.0204,3520.594229,16.73502871
150,7/27/2004,DSMR,5,neomel,invasive,5.48,0.92,0.78,2.0026,0.362,3789.933187,18.07650055
151,7/27/2004,DSMR,5,neomel,invasive,6.82,1.09,1.08,4.1586,0.7992,4034.609978,19.21800606
152,7/27/2004,DSMR,5,neomel,invasive,7.57,1.12,1.2,5.7077,1.1312,4152.982299,19.81884121
153,7/27/2004,DSMR,5,neomel,invasive,8,1.26,1.22,6.5456,1.3454,4375.114392,20.55426546
154,7/27/2004,DSMR,5,neomel,invasive,10.09,1.74,1.75,16.1518,3.3885,4452.483113,20.97908592
